7 5 3
5 7 1 4 6
4 6 6 2 1
1 2 2 3 5
6 3 4 1 7
7 1 3 6 4
2 5 5 7 3
3 4 7 5 2
  0 UP F1 3 4 7 5 2 L: . . .
  1 UP F1 3 . . . 2 L: 7 5 4
  2 UP F2 2 4 5 5 3 L: 7 7 5
  3 UP F3 5 1 3 6 4 L: 7 7 7
  4 UP F4 6 3 4 1 7 L: 7 7 7
  5 UP F5 1 2 2 3 5 L: 7 7 7
  6 UP F6 4 6 6 2 1 L: 7 7 7
  7 DN F7 7 7 7 7 6 L: 1 4 5
  8 DN F6 4 6 6 5 4 L: 1 1 2
  9 DN F5 2 2 2 3 5 L: 1 1 1
 10 DN F4 6 3 4 1 7 L: 1 1 1
 11 DN F3 5 1 3 6 4 L: 1 1 1
 12 DN F2 2 4 5 5 3 L: 1 1 1
 13 UP F1 1 . . . 1 L: 3 2 1
 14 UP F2 2 1 3 2 3 L: 5 5 4
 15 UP F3 4 1 3 5 4 L: 6 5 5
 16 UP F4 5 3 4 1 5 L: 6 7 6
 17 UP F5 2 2 2 3 5 L: 6 7 6
 18 UP F6 4 6 6 5 4 L: 6 7 6
 19 DN F7 7 7 7 7 7 L: 6 6 6
 20 DN F6 6 6 6 6 6 L: 4 4 5
 21 DN F5 4 4 5 3 5 L: 2 2 2
 22 DN F4 5 3 4 2 5 L: 1 2 2
 23 DN F3 4 2 3 5 4 L: 1 1 2
 24 UP F2 2 1 1 2 1 L: 3 3 2
 25 UP F3 3 2 3 3 2 L: 5 4 4
 26 UP F4 4 3 4 2 4 L: 5 5 5
 27 DN F5 5 5 5 5 5 L: 3 4 4
 28 DN F4 4 4 4 4 4 L: 3 2 3
 29 DN F3 3 3 3 3 3 L: 2 2 2
 30 DN F2 2 2 2 2 2 L: 1 1 1
 30 UP F1 1 1 1 1 1 L: . . .
