7 4 2
5 5 7 6
6 2 1 1
6 2 2 3
2 1 7 4
4 1 5 4
3 3 4 3
7 6 5 7
  0 UP F1 7 6 5 7 L: . .
  1 UP F1 . 6 5 . L: 7 7
  2 UP F2 3 3 4 3 L: 7 7
  3 UP F3 4 1 5 4 L: 7 7
  4 UP F4 2 1 7 4 L: 7 7
  5 UP F5 6 2 2 3 L: 7 7
  6 UP F6 6 2 1 1 L: 7 7
  7 DN F7 7 7 7 6 L: 5 5
  8 DN F6 6 2 5 5 L: 1 1
  9 DN F5 6 2 2 3 L: 1 1
 10 DN F4 2 1 7 4 L: 1 1
 11 DN F3 4 1 5 4 L: 1 1
 12 DN F2 3 3 4 3 L: 1 1
 13 UP F1 . 1 1 . L: 6 5
 14 UP F2 3 3 4 3 L: 6 5
 15 UP F3 4 1 5 4 L: 6 5
 16 UP F4 2 1 5 4 L: 6 7
 17 UP F5 6 2 2 3 L: 6 7
 18 UP F6 6 2 5 5 L: 6 7
 19 DN F7 7 7 7 7 L: 6 6
 20 DN F6 6 6 6 5 L: 2 5
 21 DN F5 6 5 2 3 L: 2 2
 22 DN F4 2 2 5 4 L: 1 2
 23 DN F3 4 2 5 4 L: 1 1
 24 UP F2 1 3 1 3 L: 4 3
 25 UP F3 3 2 4 4 L: 5 4
 26 UP F4 2 2 4 4 L: 5 5
 27 UP F5 5 5 2 3 L: 6 5
 28 DN F6 6 6 6 6 L: 5 5
 29 DN F5 5 5 5 5 L: 2 3
 30 DN F4 3 2 4 4 L: 2 2
 31 DN F3 3 2 4 4 L: 2 2
 32 UP F2 1 2 1 2 L: 3 3
 33 UP F3 3 2 3 3 L: 4 4
 34 DN F4 4 4 4 4 L: 2 3
 35 DN F3 3 3 3 3 L: 2 2
 36 DN F2 2 2 2 2 L: 1 1
 36 UP F1 1 1 1 1 L: . .
