7 4 3
1 1 4 4
2 4 7 3
1 6 7 2
7 3 4 1
2 3 6 5
2 6 5 5
6 7 3 5
  0 UP F1 6 7 3 5 L: . . .
  1 UP F1 . . 3 . L: 7 6 5
  2 UP F2 2 5 5 5 L: 7 6 6
  3 UP F3 2 3 6 5 L: 7 6 6
  4 UP F4 6 3 4 1 L: 7 7 6
  5 UP F5 1 6 6 2 L: 7 7 7
  6 UP F6 2 4 7 3 L: 7 7 7
  7 DN F7 7 7 7 4 L: 1 1 4
  8 DN F6 4 4 7 3 L: 1 1 2
  9 DN F5 2 6 6 2 L: 1 1 1
 10 DN F4 6 3 4 1 L: 1 1 1
 11 DN F3 2 3 6 5 L: 1 1 1
 12 DN F2 2 5 5 5 L: 1 1 1
 13 UP F1 . . 1 . L: 3 1 1
 14 UP F2 2 3 1 1 L: 5 5 5
 15 UP F3 2 3 5 5 L: 6 5 5
 16 UP F4 5 3 4 1 L: 6 6 5
 17 UP F5 2 5 6 2 L: 6 6 6
 18 UP F6 4 4 6 3 L: 7 6 6
 19 DN F7 7 7 7 7 L: 4 6 6
 20 DN F6 6 6 6 4 L: 3 4 4
 21 DN F5 4 5 6 4 L: 3 2 2
 22 DN F4 5 3 4 3 L: 1 2 2
 23 DN F3 2 3 5 5 L: 1 2 2
 24 UP F2 2 1 1 1 L: 3 2 2
 25 UP F3 2 2 3 2 L: 5 5 3
 26 UP F4 3 3 4 3 L: 5 5 5
 27 UP F5 4 5 5 4 L: 6 5 5
 28 DN F6 6 6 6 6 L: 4 5 5
 29 DN F5 5 5 5 5 L: 4 4 4
 30 DN F4 4 4 4 4 L: 3 3 3
 31 DN F3 3 3 3 3 L: 2 2 2
 32 DN F2 2 2 2 2 L: 1 1 1
 32 UP F1 1 1 1 1 L: . . .
